"","Orbi_num","Station","CTD","Depth","Long","Lat","Day","Time","Phos","Nitr","Chl","Chla","Phaeo","diSi","biSi","Temp","Sal","Density","NormPAR"
"1","Orbi_1265","1","1","1.957","121.985428","36.781067","1","14.05","0.089759","0.673746","16.1943835286137","14.6299980076419","3.03469614916732","4.91178412100595","8.37864383124598","12.5193","33.8461","25.5935","1.0713"
"2","Orbi_1270","1","1","5.03","121.985428","36.781067","1","14.05","0.054188","0.834685","19.2978813184032","18.9530965180082","0.668835841308679","7.68986037076801","8.49504488831351","12.5733","33.841","25.5791","0.19139"
"3","Orbi_1299","1","1","10.002","121.985428","36.781067","1","14.05","0.276849","11.042972","19.1573937641329","19.1903397289429","-0.063910712033047","17.3130027540631","8.37864383124598","10.6683","33.8779","25.9608","0.010567"
"4","Orbi_1274","1","1","31.674","121.985428","36.781067","1","14.05","1.440488","21.360909","1.75117222422748","1.26588910436898","0.944209848657532","30.4098283841295","1.59415627785825","9.1636","33.918","26.2453","0.0002346"
"5","Orbi_1247","2","5","2.051","122.180667","36.807833","2","9.31666666666666","0.40994","8.788032","9.19570150345058","8.74282543301373","0.878518273520589","9.98105251084193","5.28261754055283","11.5955","33.8714","25.7883","0.9608"
"6","Orbi_1286","2","5","5.799","122.180667","36.807833","2","9.31666666666666","0.432136","8.110437","8.75132621645608","8.09192133986212","1.2791562008953","10.7534871061002","5.51531308419997","11.5505","33.8712","25.7965","0.23006"
"7","Orbi_1292","2","5","11.265","122.180667","36.807833","2","9.31666666666666","0.496534","9.299549","8.57214263299056","8.00316169079599","1.10374600830803","11.8682791520079","5.78808803443957","11.4959","33.874","25.8089","0.03914"
"8","Orbi_1231","2","5","17.607","122.180667","36.807833","2","9.31666666666666","0.635215","11.085764","8.25677952609125","7.69250291906453","1.0946202348801","14.2330617318973","5.62643084050878","11.4477","33.8773","25.8205","0.0069636"
"9","Orbi_1246","2","5","32.301","122.180667","36.807833","2","9.31666666666666","1.052427","18.341877","7.64038799896985","6.6865602296484","1.85029675851933","21.5567895428523","4.50016562691691","10.4374","33.894","26.0141","0.00017582"
"10","Orbi_1312","2","5","48.441","122.180667","36.807833","2","9.31666666666666","1.470912","21.528191","2.4566069293123","1.85285767425545","1.17119182888214","28.3270553245494","2.21745289081346","9.1673","33.942","26.2638","9.7491e-06"
"11","Orbi_1244","4","8","2.262","122.338667","36.455167","3","7.5","0.094161","0.233819","12.21315304901","10.8730570106008","2.59960491372251","1.59816029895369","6.69008264068323","12.3958","33.8043","25.5849","0.56142"
"12","Orbi_1310","4","8","4.784","122.338667","36.455167","3","7.5","0.107412","0.632983","14.7790619642362","14.3790631487129","0.775943556666264","2.11337457618338","5.72300556251154","12.3866","33.8043","25.5868","0.1283"
"13","Orbi_1315","4","8","8.798","122.338667","36.455167","3","7.5","0.113951","1.231041","12.2346550790258","10.7695040866903","2.84219459639794","2.57084767042444","5.9033621718166","12.3655","33.8036","25.5904","0.023822"
